"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Opportunity Management","0","Manage My Opportunity","1","0","Update Credit Scoring","0"
"0","","0","","8","0","","0"
"0","Quote Management","0","Enterprise Quote","1","0","Upload MLD file","0"
"0","Quote Management","0","Enterprise Quote","1","0","Create an Enterprise Quote as ES Team","0"
"0","Opportunity Management","0","Manage My Opportunity","2","0","Update Score Card","0"
"0","Account Management","0","Contact Management","1","0","Create Billing Contact","0"
"0","Quote Management","0","Enterprise Quote","1","0","Generate Business Case","0"
"0","Lead Management","0","Manage My Leads","1","0","View All My Leads","0"
"0","Lead Management","0","Manage My Leads","1","0","Convert Lead","0"
"0","Lead Management","0","Manage My Leads","1","0","Update Lead Status","0"
"0","Opportunity Management","0","Manage My Opportunity","1","0","Add Products to Opportunity and Update Sales Scenario","0"
"0","Account Management","0","Manage CCA and CA Records","1","0","Create Customer Account","0"
"0","Opportunity Management","0","Manage My Opportunity","1","0","Add Opportunity Team Member","0"
"0","Opportunity Management","0","Manage My Opportunity","1","0","Update Sales Scenario, Credit Scoring and Score Card","0"
"0","Lead Management","0","Manage My Leads","1","0","Create New Lead","0"
"0","Account Management","0","Manage CCA and CA Records","1","0","Create Customer Corporate Account","0"
